Code Phrase,*Number or date,*Letter,*Playing Card Value,"*Object, item, or clothes","*Object, item, or clothes when a lady, girl, or woman is mentioned",*Man's Name,*Lady's Name,*Country,*State,*City,*Gem,*Household Article,*Month,*Day,*Year,*Color,*Material,*Value of Coin,*Paper Currency,*Hour,*Minute
CAN,1,A,,Smartphone,Smartphone,Adam,Anne,Austria,Alabama,Akron,diamond,,January,Monday,2001,white,Gold,penny,$1 ,1:00,:01
THINK,2,B,,Keys,Keys,Benjamin,Bertha,Brazil,,Boston,emerald,,February,Tuesday,2002,blue,Silver,,$2 ,2:00,:02
GUESS,3,C,,Wallet,Wallet,Charles,Clara,Canada,California,Chicago,amethyst,,March,Wednesday,2003,green,Bronze,,,3:00,:03
ARE,4,D,,Watch,Watch,Daniel,Dorothy,Denmark,Delaware,Detroit,ruby,,April,Thursday,2004,orange,Copper,,,4:00,:04
GIVE,5,E,,Sunglasses,Sunglasses,Edward,Emma,England,,Erie,jade,,May,Friday,2005,yellow,Chrome,nickel,$5 ,5:00,:05
SAY,6,F,,Earbuds,Earbuds,Frank,Frances,France,Florida,Fort Worth,pearl,,June,Saturday,2006,brown,Metal,,,6:00,:06
NAME,7,G,,Lip Balm,Lip Balm,George,Gertrude,Greece,Georgia,Galveston,,,July,Sunday,2007,purple,Fabric,,,7:00,:07
SEE,8,H,,Hand Sanitizer,Hand Sanitizer,Harold,Helen,Holland,Hawaii,Hartford,,,August,,2008,black,Glass,,,8:00,:08
TELL,9,I,,Charging Device,Charging Device,Irving,Isabel,Italy,Illinois,Indianapolis,sapphire,,September,,2009,red,Paper,,,9:00,:09
NOW TRY,10,J,,Gum,Gum,John,Joan,Japan,,Jersey City,opal,,October,,2010,slate,Plastic,dime,$10 ,10:00,:10
NOW CAN,11,K,,Pen,Pen,Kenneth,Kathrine,Korea,Kentucky,Kansas City,topaz,,November,,2011,ivory,Leather,,,11:00,:11
NOW THINK,12,L,,Notebook,Notebook,Louis,Louise,Liberia,Louisiana,Louisville,turquoise,,December,,2012,sky blue,Wood,,,12:00,:12
NOW GUESS,13,M,,Water Bottle,Water Bottle,,,Mexico,Massachusetts,,,,,,2013,mint,rubber,,,,:13
NOW ARE,14,N,,Tissues,Tissues,,,Norway,New York,,,,,,2014,peach,,,,,:14
NOW GIVE,15,O,,Face Mask,Face Mask,,,Oman,Ohio,,,,,,2015,lemon,,,,,:15
NOW SAY,16,P,,Headphones,Headphones,,,Peru,Pennsylvania,,,,,,2016,beige,,,,,:16
NOW NAME,17,Q,,USB Drive,USB Drive,,,Queensland,,,,,,,2017,lavender,,,,,:17
NOW SEE,18,R,,Glasses,Glasses,,,Russia,Rhode Island,,,,,,2018,charcoal,,,,,:18
NOW TELL,19,S,,Snack,Snack,,,Spain,South Carolina,,,,,,2019,pink,,,,,:19
SO TRY,20,T,,Medication,Medication,,,Turkey,Tennessee,,,,,,2020,charcoal,,,$20 ,,:20
SO CAN,21,U,,Fitness Tracker,Fitness Tracker,,,Uraguay,Utah,,,,,,2021,pearl,,,,,:21
SO THINK,22,V,,Handkerchief,Handkerchief,,,Venezuela,Virginia,,,,,,2022,navy blue,,,,,:22
SO GUESS,23,W,,Business Card,Business Card,,,Wales,Washington,,,,,,2023,forest green,,,,,:23
SO ARE,24,X,,Comb,Comb,,,,,,,,,,2024,dark orange,,,,,:24
SO GIVE,25,Y,,Mints,Mints,,,Yemen,,,,,,,1925,marigold,,quarter,,,:25
SO SAY,26,Z,,Bracelet,Bracelet,,,Zanzibar,,,,,,,1926,chocolate,,,,,:26
SO NAME,27,,,Ring,Ring,,,,,,,,,,1927,violet,,,,,:27
SO SEE,28,,,Necklace,Necklace,,,,,,,,,,1928,black,,,,,:28
SO TELL,29,,,Earring,Earring,,,,,,,,,,1929,burgundy,,,,,:29
WELL TRY,30,,Ten of Spades,Personal Planner,Personal Planner,,,,,,,,*Vegetable,*Instrument,1930,,*Flower,,,,:30
WELL CAN,31,A,Ace of Spades,Tablet,Tablet,,,,Arkansas,,,,Asparagus,Accordian,1931,,Aster,,,,:31
WELL THINK,32,B,Two of Spades,Item Tracker,Item Tracker,,,,,,,,Bet,Bass Horn,1932,,Bachelor Button,,,,:32
WELL GUESS,33,C,Three of Spades,Flashlight,Flashlight,,,,Connecticut,,,,Corn,Clarinet,1933,,Chrysanthemum,,,,:33
WELL ARE,34,D,Four of Spades,Earplugs,Earplugs,,,,North Dakota,,,,Dill,Drum,1934,,Daisy,,,,:34
WELL GIVE,35,E,Five of Spades,Gloves,Gloves,,,,,,,,Eggplant,English Horn,1935,,Everlasting,,,,:35
WELL SAY,36,F,Six of Spades,Lens Wipes,Lens Wipes,,,,,,,,,Flute,1936,,Forget-me-not,,,,:36
WELL NAME,37,G,Seven of Spades,Umbrella,Umbrella,,,,Guam,,,,,Guitar,1937,,Gladoli,,,,:37
WELL SEE,38,H,Eight of Spades,Vape Device,Vape Device,,,,,,,,,Harp,1938,,ydrangea,,,,:38
WELL TELL,39,I,Nine of Spades,Lighter,Lighter,,,,Iowa,,,,,,1939,,Iris,,,,:39
ALL RIGHT TRY,40,J,Ten of Diamonds,Cufflinks,Cleansing Wipes,,,,,,,,,Juke Box,1940,,Jniper,,,,:40
ALL RIGHT CAN,41,K,Ace of Diamonds,Hotspot,Compact Mirror,,,,Kansas,,,,,Kettle Drum,1941,,,,,,:41
ALL RIGHT THINK,42,L,Two of Diamonds,Multi-tool,Hair Tie,,,,,,,,,Lyre,1942,,Lily,,,,:42
ALL RIGHT GUESS,43,M,Three of Diamonds,Pocketknife,Hairbrush,,,,Michigan,,,,,Mandolin,1943,,Marigold,,,,:43
